concept_id,activation_rate,mean_abs,energy_share
2643,0.05522189,0.012958065,0.00048883853
2961,0.058892224,0.012222343,0.00046108366
1349,0.081581585,0.012184161,0.00045964326
1516,0.23123123,0.012170324,0.00045912128
3349,0.08541875,0.011864003,0.0004475654
1450,0.06589923,0.011766741,0.00044389625
229,0.12629296,0.01152918,0.00043493434
3140,0.122122124,0.01105269,0.00041695894
1288,0.086920254,0.011007551,0.00041525607
537,0.05422089,0.010521771,0.00039693018
3230,0.19285953,0.009620673,0.00036293655
3156,0.07107107,0.00949763,0.0003582948
478,0.049883217,0.009098927,0.00034325387
3856,0.021521522,0.008801315,0.00033202657
1626,0.051384717,0.008773832,0.00033098977
644,0.04337671,0.008712768,0.00032868615
1121,0.053553555,0.008595153,0.00032424915
2560,0.12495829,0.008516662,0.00032128813
3264,0.11394728,0.008510566,0.00032105818
1528,0.046546545,0.008153949,0.0003076049
3408,0.11378045,0.008153299,0.00030758037
3915,0.059059057,0.008047353,0.0003035836
1622,0.11494828,0.007936794,0.00029941282
870,0.06056056,0.007843655,0.00029589917
3567,0.05205205,0.0076214126,0.00028751517
160,0.056556556,0.0074694674,0.00028178308
573,0.13179846,0.0072046923,0.00027179453
3024,0.028695362,0.007010905,0.00026448397
2002,0.021521522,0.006895328,0.00026012387
199,0.032699365,0.006647006,0.000250756
2714,0.086419754,0.0064480845,0.00024325175
2650,0.032198865,0.006443471,0.00024307772
2515,0.028862195,0.006309714,0.00023803179
3033,0.030196864,0.006305766,0.00023788284
2296,0.041708376,0.006260265,0.00023616634
1023,0.036870204,0.005932295,0.00022379379
3672,0.07440774,0.0058839982,0.0002219718
1675,0.033033032,0.0057506193,0.00021694013
144,0.09426093,0.005624246,0.00021217273
2317,0.094427764,0.0054882886,0.00020704379
3281,0.019519519,0.005330611,0.00020109546
3876,0.049883217,0.0052799494,0.00019918426
2863,0.019686352,0.0051660854,0.00019488878
2137,0.015515516,0.005108959,0.00019273371
3100,0.04904905,0.005101854,0.00019246568
219,0.024858192,0.0050974092,0.000192298
1758,0.025525525,0.0050916504,0.00019208076
4015,0.039873205,0.0050878637,0.0001919379
2580,0.08274942,0.0050420333,0.00019020896
979,0.028361695,0.005022701,0.00018947966
2708,0.019352686,0.0049629332,0.00018722494
2152,0.021021022,0.004958947,0.00018707456
155,0.028194861,0.0048598396,0.00018333577
3239,0.057557557,0.0046785055,0.000176495
3780,0.020353688,0.004623233,0.00017440986
2064,0.03253253,0.004521638,0.00017057723
685,0.04904905,0.004450861,0.00016790719
1061,0.025191858,0.0044354433,0.00016732556
2563,0.059059057,0.004344794,0.00016390585
351,0.0125125125,0.004275137,0.00016127806
1332,0.014681348,0.00423194,0.00015964848
2814,0.028862195,0.004218725,0.00015914995
4061,0.028194861,0.0042124493,0.00015891319
185,0.021855189,0.004208418,0.00015876112
2142,0.023690358,0.004183474,0.0001578201
3152,0.017517518,0.004146946,0.00015644211
3275,0.026359692,0.004034617,0.00015220453
1274,0.028528528,0.0040228027,0.00015175884
3058,0.05522189,0.003988761,0.00015047463
1471,0.014514514,0.0039220527,0.00014795808
2358,0.024357691,0.003908524,0.0001474477
3052,0.018018018,0.0036532935,0.00013781924
1147,0.04437771,0.003544594,0.00013371858
658,0.07190524,0.0033481373,0.00012630732
3210,0.021855189,0.0032967827,0.00012436998
2558,0.04187521,0.0031920692,0.00012041971
3263,0.058391724,0.0031663254,0.00011944853
2625,0.022355689,0.0030811725,0.000116236166
1297,0.044544544,0.00307954,0.00011617458
1526,0.012846179,0.0030581548,0.00011536783
2749,0.019519519,0.002991882,0.00011286771
3117,0.07057057,0.0029388787,0.00011086818
2875,0.008675342,0.0029332817,0.000110657034
1554,0.021354688,0.0028705979,0.00010829231
3840,0.027193861,0.0028512494,0.000107562395
1224,0.03520187,0.002718257,0.00010254531
1678,0.01668335,0.0026627409,0.000100450976
636,0.04437771,0.0026334391,9.934558e-05
793,0.020854188,0.0026006652,9.8109194e-05
4070,0.021688355,0.0025663378,9.6814205e-05
1759,0.01668335,0.0025539314,9.634618e-05
2273,0.008174841,0.0025396796,9.580854e-05
3289,0.011511511,0.002509144,9.4656585e-05
1358,0.010343677,0.0024941934,9.409258e-05
2072,0.009676343,0.002425088,9.148561e-05
269,0.013179846,0.002366775,8.9285764e-05
3107,0.013179846,0.0023361547,8.8130626e-05
2491,0.022689356,0.002329868,8.7893466e-05
2111,0.01334668,0.0022871972,8.628372e-05
1633,0.0323657,0.0022141829,8.352928e-05
2032,0.019686352,0.0021942067,8.277569e-05
1803,0.008341675,0.0020794962,7.8448276e-05
534,0.0125125125,0.0020375957,7.68676e-05
3189,0.008174841,0.0020090207,7.578961e-05
646,0.008174841,0.0020086535,7.577576e-05
1368,0.0071738404,0.0019951016,7.5264514e-05
163,0.006339673,0.001992852,7.5179654e-05
2572,0.0065065064,0.0019402282,7.319444e-05
2717,0.010677344,0.0019221279,7.251161e-05
236,0.016016016,0.0019087055,7.2005256e-05
1010,0.002669336,0.0018644333,7.03351e-05
274,0.0025025024,0.0018478368,6.9709e-05
3868,0.0065065064,0.001831644,6.909813e-05
3836,0.03153153,0.001799516,6.788612e-05
2616,0.009843176,0.0017984919,6.784748e-05
1805,0.01334668,0.001795658,6.774058e-05
727,0.010343677,0.0017656242,6.660756e-05
2955,0.019519519,0.001748478,6.596073e-05
2476,0.01668335,0.0017261452,6.511823e-05
3746,0.005338672,0.0017166059,6.4758366e-05
1888,0.011511511,0.0016329599,6.160285e-05
