image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
19,Abyssinian_116.jpg,patch88,3,19794,0.8383,19794,0.9034,True,3,3
19,Abyssinian_116.jpg,patch88,4,34321,0.8054,34321,0.7801,True,4,4
19,Abyssinian_116.jpg,patch88,5,20496,0.7248,23127,0.7363,False,,
20,Abyssinian_117.jpg,global,1,38459,20.995,2099,22.0876,False,2,2
20,Abyssinian_117.jpg,global,2,2099,20.9727,38459,21.8445,False,1,1
20,Abyssinian_117.jpg,global,3,4594,15.1802,4594,16.0865,True,3,3
20,Abyssinian_117.jpg,global,4,41801,12.8761,41801,14.108,True,4,4
20,Abyssinian_117.jpg,global,5,33331,8.3983,33331,8.8138,True,5,5
20,Abyssinian_117.jpg,patch88,1,6690,1.6082,38515,1.5577,False,2,2
20,Abyssinian_117.jpg,patch88,2,38515,1.5581,6690,1.4762,False,1,1
20,Abyssinian_117.jpg,patch88,3,41838,1.357,41838,1.1617,True,3,3
20,Abyssinian_117.jpg,patch88,4,25790,1.1874,25790,1.1336,True,4,4
20,Abyssinian_117.jpg,patch88,5,34321,1.1123,34321,1.1107,True,5,5
21,Abyssinian_118.jpg,global,1,38459,20.1216,38459,20.0687,True,1,1
21,Abyssinian_118.jpg,global,2,2099,19.7723,2099,19.6659,True,2,2
21,Abyssinian_118.jpg,global,3,4594,14.0114,4594,13.8192,True,3,3
21,Abyssinian_118.jpg,global,4,41801,11.2848,41801,11.0943,True,4,4
21,Abyssinian_118.jpg,global,5,33331,8.3238,33331,8.3391,True,5,5
21,Abyssinian_118.jpg,patch88,1,38515,1.923,38515,1.9301,True,1,1
21,Abyssinian_118.jpg,patch88,2,41838,1.5301,25790,1.3438,False,3,3
21,Abyssinian_118.jpg,patch88,3,25790,1.3654,41838,1.3117,False,2,2
21,Abyssinian_118.jpg,patch88,4,34321,1.1615,34321,1.179,True,4,4
21,Abyssinian_118.jpg,patch88,5,6690,1.0917,6690,1.0515,True,5,5
22,Abyssinian_119.jpg,global,1,2099,21.7289,2099,21.8429,True,1,1
22,Abyssinian_119.jpg,global,2,38459,21.4909,38459,21.5849,True,2,2
22,Abyssinian_119.jpg,global,3,4594,15.7754,4594,15.7649,True,3,3
22,Abyssinian_119.jpg,global,4,41801,13.6056,41801,13.7092,True,4,4
22,Abyssinian_119.jpg,global,5,33331,8.8628,33331,8.9204,True,5,5
22,Abyssinian_119.jpg,patch88,1,38515,1.7971,38515,1.8122,True,1,1
22,Abyssinian_119.jpg,patch88,2,41838,1.7749,41838,1.6061,True,2,2
22,Abyssinian_119.jpg,patch88,3,34321,1.2351,34321,1.2679,True,3,3
