image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
10,AnnualCrop_1007.jpg,patch88,4,133,4.2634,16094,2.1059,False,5,
10,AnnualCrop_1007.jpg,patch88,5,3874,3.6215,133,1.4261,False,,4
11,AnnualCrop_1008.jpg,global,1,2099,21.3546,2099,21.3319,True,1,1
11,AnnualCrop_1008.jpg,global,2,38459,20.8861,38459,21.1238,True,2,2
11,AnnualCrop_1008.jpg,global,3,4594,16.7825,4594,16.4907,True,3,3
11,AnnualCrop_1008.jpg,global,4,41801,13.3735,41801,13.4754,True,4,4
11,AnnualCrop_1008.jpg,global,5,33331,8.854,33331,8.7385,True,5,5
11,AnnualCrop_1008.jpg,patch88,1,29833,1.292,38515,1.2411,False,,
11,AnnualCrop_1008.jpg,patch88,2,25790,0.8909,34321,1.2111,False,5,
11,AnnualCrop_1008.jpg,patch88,3,28763,0.8647,43358,1.1148,False,,
11,AnnualCrop_1008.jpg,patch88,4,48010,0.8467,49029,1.008,False,,
11,AnnualCrop_1008.jpg,patch88,5,36131,0.7722,25790,0.9894,False,,2
12,AnnualCrop_1009.jpg,global,1,38459,19.9972,38459,20.1919,True,1,1
12,AnnualCrop_1009.jpg,global,2,2099,19.6341,2099,19.6301,True,2,2
12,AnnualCrop_1009.jpg,global,3,4594,14.4207,4594,14.0548,True,3,3
12,AnnualCrop_1009.jpg,global,4,41801,11.4095,41801,11.5007,True,4,4
12,AnnualCrop_1009.jpg,global,5,33331,8.4295,33331,8.1367,True,5,5
12,AnnualCrop_1009.jpg,patch88,1,38515,0.8433,38515,1.3556,True,1,1
12,AnnualCrop_1009.jpg,patch88,2,34321,0.6778,25790,1.1488,False,4,4
12,AnnualCrop_1009.jpg,patch88,3,25831,0.6665,36126,1.1082,False,,
12,AnnualCrop_1009.jpg,patch88,4,25790,0.6586,34321,1.0511,False,2,2
12,AnnualCrop_1009.jpg,patch88,5,524,0.5807,19999,0.8728,False,,
13,AnnualCrop_101.jpg,global,1,2099,21.9229,2099,22.8264,True,1,1
13,AnnualCrop_101.jpg,global,2,38459,21.3656,38459,22.2691,True,2,2
13,AnnualCrop_101.jpg,global,3,4594,17.3904,4594,17.6639,True,3,3
13,AnnualCrop_101.jpg,global,4,41801,14.2256,41801,14.5085,True,4,4
13,AnnualCrop_101.jpg,global,5,33331,9.1282,33331,9.7796,True,5,5
13,AnnualCrop_101.jpg,patch88,1,38515,1.1379,38515,1.2591,True,1,1
13,AnnualCrop_101.jpg,patch88,2,25790,0.9062,34321,0.9127,False,3,4
13,AnnualCrop_101.jpg,patch88,3,15476,0.7694,25790,0.8655,False,,2
13,AnnualCrop_101.jpg,patch88,4,34321,0.6968,45271,0.7909,False,2,
13,AnnualCrop_101.jpg,patch88,5,19999,0.5703,8508,0.7783,False,,
14,AnnualCrop_1010.jpg,global,1,2099,22.0891,2099,22.9393,True,1,1
14,AnnualCrop_1010.jpg,global,2,38459,21.3882,38459,22.2895,True,2,2
14,AnnualCrop_1010.jpg,global,3,4594,17.307,4594,17.7348,True,3,3
14,AnnualCrop_1010.jpg,global,4,41801,14.146,41801,15.0445,True,4,4
14,AnnualCrop_1010.jpg,global,5,33331,9.1306,33331,9.2095,True,5,5
14,AnnualCrop_1010.jpg,patch88,1,34165,0.73,38515,1.194,False,,2
14,AnnualCrop_1010.jpg,patch88,2,38515,0.6257,19794,1.0355,False,1,
14,AnnualCrop_1010.jpg,patch88,3,35593,0.5892,25790,0.9217,False,,
14,AnnualCrop_1010.jpg,patch88,4,18550,0.575,19999,0.8962,False,,
14,AnnualCrop_1010.jpg,patch88,5,40665,0.5608,36126,0.8857,False,,
15,AnnualCrop_1011.jpg,global,1,38459,18.2979,38459,19.4128,True,1,1
15,AnnualCrop_1011.jpg,global,2,2099,18.0731,2099,19.1976,True,2,2
15,AnnualCrop_1011.jpg,global,3,4594,13.7811,4594,14.2983,True,3,3
15,AnnualCrop_1011.jpg,global,4,41801,10.3799,41801,10.9778,True,4,4
15,AnnualCrop_1011.jpg,global,5,33331,7.3569,33331,8.0358,True,5,5
15,AnnualCrop_1011.jpg,patch88,1,38515,1.4118,38515,1.3326,True,1,1
15,AnnualCrop_1011.jpg,patch88,2,39090,1.2787,34321,0.9474,False,,4
15,AnnualCrop_1011.jpg,patch88,3,14350,0.9651,23067,0.857,False,,
15,AnnualCrop_1011.jpg,patch88,4,34321,0.9468,36126,0.8515,False,2,
