image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
12,img_000012_label8,global,2,2099,18.7749,38459,21.4632,False,1,1
12,img_000012_label8,global,3,4594,13.7818,4594,16.1624,True,3,3
12,img_000012_label8,global,4,41801,10.6862,41801,13.5789,True,4,4
12,img_000012_label8,global,5,33331,8.0143,33331,9.1891,True,5,5
12,img_000012_label8,patch88,1,25790,0.9787,38515,1.5488,False,2,2
12,img_000012_label8,patch88,2,38515,0.8444,25790,1.1499,False,1,1
12,img_000012_label8,patch88,3,15358,0.596,34491,0.839,False,,
12,img_000012_label8,patch88,4,27607,0.5809,34321,0.7844,False,,
12,img_000012_label8,patch88,5,16439,0.5599,25702,0.703,False,,
13,img_000013_label6,global,1,38459,20.1744,2099,23.0154,False,2,2
13,img_000013_label6,global,2,2099,19.9475,38459,22.7291,False,1,1
13,img_000013_label6,global,3,4594,14.1573,4594,16.8967,True,3,3
13,img_000013_label6,global,4,41801,11.9935,41801,14.9552,True,4,4
13,img_000013_label6,global,5,33331,8.5983,33331,9.9903,True,5,5
13,img_000013_label6,patch88,1,38459,7.1159,38459,5.6682,True,1,1
13,img_000013_label6,patch88,2,133,6.782,133,4.8665,True,2,2
13,img_000013_label6,patch88,3,3874,6.2993,15485,4.6306,False,5,4
13,img_000013_label6,patch88,4,15485,5.7647,39589,4.6025,False,3,5
13,img_000013_label6,patch88,5,39589,4.8654,3874,4.5239,False,4,3
14,img_000014_label0,global,1,38459,19.74,38459,20.3165,True,1,1
14,img_000014_label0,global,2,2099,19.6164,2099,20.1793,True,2,2
14,img_000014_label0,global,3,4594,15.4225,4594,15.8088,True,3,3
14,img_000014_label0,global,4,41801,11.2058,41801,11.5819,True,4,4
14,img_000014_label0,global,5,33331,8.2009,33331,8.6079,True,5,5
14,img_000014_label0,patch88,1,38515,1.2939,38515,1.1076,True,1,1
14,img_000014_label0,patch88,2,27749,1.2935,25790,1.0235,False,3,3
14,img_000014_label0,patch88,3,25790,1.2658,27749,0.7527,False,2,2
14,img_000014_label0,patch88,4,30806,1.1104,34321,0.751,False,,
14,img_000014_label0,patch88,5,24599,1.0823,12349,0.7199,False,,
15,img_000015_label5,global,1,38459,18.8788,38459,19.418,True,1,1
15,img_000015_label5,global,2,2099,18.8005,2099,19.3175,True,2,2
15,img_000015_label5,global,3,4594,14.2326,4594,14.6062,True,3,3
15,img_000015_label5,global,4,41801,10.7801,41801,11.1827,True,4,4
15,img_000015_label5,global,5,33331,8.0129,33331,8.1333,True,5,5
15,img_000015_label5,patch88,1,38515,1.3527,38515,1.6012,True,1,1
15,img_000015_label5,patch88,2,19358,1.052,25790,1.2213,False,,4
15,img_000015_label5,patch88,3,1527,0.7357,14809,0.8008,False,,
15,img_000015_label5,patch88,4,25790,0.7342,33423,0.7803,False,2,
15,img_000015_label5,patch88,5,34321,0.72,9889,0.7737,False,,
16,img_000016_label0,global,1,2099,19.5589,2099,20.0822,True,1,1
16,img_000016_label0,global,2,38459,19.4935,38459,19.9532,True,2,2
16,img_000016_label0,global,3,4594,15.554,4594,15.8822,True,3,3
16,img_000016_label0,global,4,41801,11.3004,41801,11.536,True,4,4
16,img_000016_label0,global,5,133,8.3141,33331,8.3109,False,,
16,img_000016_label0,patch88,1,39589,6.8574,39589,5.6021,True,1,1
16,img_000016_label0,patch88,2,15485,6.6193,15485,5.1144,True,2,2
16,img_000016_label0,patch88,3,133,6.287,133,4.9266,True,3,3
16,img_000016_label0,patch88,4,3874,5.8733,3874,4.5195,True,4,4
16,img_000016_label0,patch88,5,8403,4.4034,8403,3.6706,True,5,5
17,img_000017_label2,global,1,38459,17.5791,38459,19.5379,True,1,1
17,img_000017_label2,global,2,2099,17.3176,2099,19.449,True,2,2
17,img_000017_label2,global,3,4594,12.7037,4594,14.3212,True,3,3
17,img_000017_label2,global,4,41801,9.2195,41801,11.3213,True,4,4
17,img_000017_label2,global,5,133,7.1078,33331,7.812,False,,
17,img_000017_label2,patch88,1,133,6.3772,39589,3.403,False,4,5
17,img_000017_label2,patch88,2,38459,6.3299,8403,2.8728,False,,
17,img_000017_label2,patch88,3,15485,5.6184,15485,2.1094,True,3,3
17,img_000017_label2,patch88,4,3874,5.6032,133,1.4242,False,,1
17,img_000017_label2,patch88,5,39589,5.0,25790,1.1715,False,1,
18,img_000018_label0,global,1,38459,19.3717,2099,19.8172,False,2,2
18,img_000018_label0,global,2,2099,19.2967,38459,19.8113,False,1,1
18,img_000018_label0,global,3,4594,15.3139,4594,15.6835,True,3,3
18,img_000018_label0,global,4,41801,10.9191,41801,11.4137,True,4,4
18,img_000018_label0,global,5,33331,8.0249,33331,8.1839,True,5,5
18,img_000018_label0,patch88,1,35322,0.8786,38515,0.9666,False,,2
18,img_000018_label0,patch88,2,38515,0.8275,34321,0.7672,False,1,4
18,img_000018_label0,patch88,3,25790,0.7315,25790,0.6652,True,3,3
18,img_000018_label0,patch88,4,34321,0.6539,42219,0.6466,False,2,
18,img_000018_label0,patch88,5,29767,0.5455,49082,0.6178,False,,
19,img_000019_label5,global,1,2099,20.5091,2099,21.16,True,1,1
19,img_000019_label5,global,2,38459,20.4627,38459,21.1482,True,2,2
19,img_000019_label5,global,3,4594,15.4542,4594,15.8665,True,3,3
19,img_000019_label5,global,4,41801,12.5154,41801,13.0578,True,4,4
19,img_000019_label5,global,5,33331,8.6564,33331,8.9702,True,5,5
19,img_000019_label5,patch88,1,46473,1.6128,38515,1.5616,False,,2
19,img_000019_label5,patch88,2,38515,1.0205,34321,0.9147,False,1,
19,img_000019_label5,patch88,3,25790,0.6566,34491,0.8585,False,,5
19,img_000019_label5,patch88,4,40429,0.5954,40429,0.8284,True,4,4
19,img_000019_label5,patch88,5,34491,0.5769,16365,0.7528,False,3,
20,img_000020_label2,global,1,2099,19.8804,2099,21.8118,True,1,1
20,img_000020_label2,global,2,38459,19.6083,38459,21.1553,True,2,2
20,img_000020_label2,global,3,4594,15.0856,4594,16.8238,True,3,3
20,img_000020_label2,global,4,41801,11.6924,41801,13.8538,True,4,4
20,img_000020_label2,global,5,33331,7.8473,33331,8.3772,True,5,5
20,img_000020_label2,patch88,1,25790,1.214,38515,1.4644,False,2,2
20,img_000020_label2,patch88,2,38515,0.8918,25790,1.1546,False,1,1
20,img_000020_label2,patch88,3,15358,0.7223,34321,0.9079,False,,5
20,img_000020_label2,patch88,4,14809,0.7039,40545,0.7671,False,,
20,img_000020_label2,patch88,5,34321,0.6995,34491,0.6125,False,3,
21,img_000021_label0,global,1,38459,19.3008,38459,19.7115,True,1,1
21,img_000021_label0,global,2,2099,18.9834,2099,19.388,True,2,2
21,img_000021_label0,global,3,4594,14.2495,4594,14.5985,True,3,3
21,img_000021_label0,global,4,41801,10.4673,41801,10.6895,True,4,4
21,img_000021_label0,global,5,33331,8.2271,33331,8.6609,True,5,5
21,img_000021_label0,patch88,1,46473,1.2223,1915,1.3974,False,,
21,img_000021_label0,patch88,2,38515,0.8845,25790,1.2628,False,3,4
21,img_000021_label0,patch88,3,14665,0.8587,38515,1.1065,False,,2
21,img_000021_label0,patch88,4,25790,0.6964,29095,0.9087,False,2,
21,img_000021_label0,patch88,5,29676,0.577,34321,0.9083,False,,
22,img_000022_label1,global,1,38459,17.7731,2099,19.2288,False,2,2
22,img_000022_label1,global,2,2099,17.6524,38459,19.1186,False,1,1
22,img_000022_label1,global,3,4594,13.8205,4594,15.035,True,3,3
22,img_000022_label1,global,4,41801,9.3221,41801,10.603,True,4,4
22,img_000022_label1,global,5,133,7.8748,33331,7.631,False,,
22,img_000022_label1,patch88,1,25790,1.6565,25790,1.5725,True,1,1
22,img_000022_label1,patch88,2,15358,1.5729,38515,1.1806,False,,
22,img_000022_label1,patch88,3,27607,0.8605,16439,1.0414,False,5,5
22,img_000022_label1,patch88,4,16770,0.8469,34321,0.9058,False,,
22,img_000022_label1,patch88,5,16439,0.7542,27607,0.8005,False,3,3
