image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
20,img_000020_label2,img_000020_label2,True,2099,19.8804,2099,21.8118,"[2099, 38459, 4594, 41801, 33331]","[19.8804, 19.6083, 15.0856, 11.6924, 7.8473]","[2099, 38459, 4594, 41801, 33331]","[21.8118, 21.1553, 16.8238, 13.8538, 8.3772]",5,5,[],[],False,25790,1.214,38515,1.4644,"[25790, 38515, 15358, 14809, 34321]","[1.214, 0.8918, 0.7223, 0.7039, 0.6995]","[38515, 25790, 34321, 40545, 34491]","[1.4644, 1.1546, 0.9079, 0.7671, 0.6125]",3,3,"[14809, 15358]","[34491, 40545]",3.4968,0.7671,0.001099,40545,0.0,0.7671,0.7671,15358,0.7223,0.0,0.7223,21293,0.6351,0.0,0.6351,34491,0.0,0.6125,0.6125,16770,0.5828,0.0,0.5828
21,img_000021_label0,img_000021_label0,True,38459,19.3008,38459,19.7115,"[38459, 2099, 4594, 41801, 33331]","[19.3008, 18.9834, 14.2495, 10.4673, 8.2271]","[38459, 2099, 4594, 41801, 33331]","[19.7115, 19.388, 14.5985, 10.6895, 8.6609]",5,5,[],[],False,46473,1.2223,1915,1.3974,"[46473, 38515, 14665, 25790, 29676]","[1.2223, 0.8845, 0.8587, 0.6964, 0.577]","[1915, 25790, 38515, 29095, 34321]","[1.3974, 1.2628, 1.1065, 0.9087, 0.9083]",2,2,"[14665, 29676, 46473]","[1915, 29095, 34321]",4.1123,1.2937,0.001336,1915,0.1038,1.3974,1.2937,46473,1.2223,0.0,1.2223,4533,0.0,0.6096,0.6096,2619,0.0,0.5701,0.5701,25790,0.6964,1.2628,0.5664
22,img_000022_label1,img_000022_label1,False,38459,17.7731,2099,19.2288,"[38459, 2099, 4594, 41801, 133]","[17.7731, 17.6524, 13.8205, 9.3221, 7.8748]","[2099, 38459, 4594, 41801, 33331]","[19.2288, 19.1186, 15.035, 10.603, 7.631]",4,4,[133],[33331],True,25790,1.6565,25790,1.5725,"[25790, 15358, 27607, 16770, 16439]","[1.6565, 1.5729, 0.8605, 0.8469, 0.7542]","[25790, 38515, 16439, 34321, 27607]","[1.5725, 1.1806, 1.0414, 0.9058, 0.8005]",3,3,"[15358, 16770]","[34321, 38515]",3.8759,1.4747,0.00129,15358,1.5729,0.0981,1.4747,39797,0.1215,0.7054,0.5839,32328,0.0,0.5694,0.5694,29704,0.0,0.5251,0.5251,24064,0.0,0.512,0.512
23,img_000023_label8,img_000023_label8,True,2099,21.8597,2099,23.3604,"[2099, 38459, 4594, 41801, 33331]","[21.8597, 21.5719, 16.3218, 14.0931, 9.4165]","[2099, 38459, 4594, 41801, 33331]","[23.3604, 23.0049, 17.5484, 15.4252, 10.04]",5,5,[],[],True,38515,1.1078,38515,1.308,"[38515, 30053, 42949, 36126, 37677]","[1.1078, 0.7981, 0.7622, 0.7054, 0.7017]","[38515, 34321, 25790, 21031, 34605]","[1.308, 1.015, 0.9752, 0.6906, 0.6824]",1,1,"[30053, 36126, 37677, 42949]","[21031, 25790, 34321, 34605]",3.5589,0.7981,0.001215,30053,0.7981,0.0,0.7981,37677,0.7017,0.0,0.7017,21031,0.0,0.6906,0.6906,42949,0.7622,0.1381,0.6241,7137,0.5426,0.0,0.5426
24,img_000024_label8,img_000024_label8,False,38459,19.8373,2099,21.7628,"[38459, 2099, 4594, 41801, 33331]","[19.8373, 19.8163, 14.4549, 11.4928, 8.145]","[2099, 38459, 4594, 41801, 33331]","[21.7628, 21.656, 16.2013, 13.4096, 8.9494]",5,5,[],[],True,38515,1.4749,38515,1.6356,"[38515, 34321, 25790, 6482, 25702]","[1.4749, 1.0537, 0.7339, 0.6904, 0.6638]","[38515, 34321, 25790, 34491, 34605]","[1.6356, 1.0748, 0.8174, 0.7541, 0.6824]",3,3,"[6482, 25702]","[34491, 34605]",3.4776,0.7541,0.001185,34491,0.0,0.7541,0.7541,6482,0.6904,0.0,0.6904,37492,0.0,0.5336,0.5336,34238,0.1185,0.6042,0.4857,5076,0.0,0.4615,0.4615
25,img_000025_label0,img_000025_label0,True,2099,20.4691,2099,20.574,"[2099, 38459, 4594, 41801, 33331]","[20.4691, 20.4583, 16.0547, 12.017, 8.6493]","[2099, 38459, 4594, 41801, 33331]","[20.574, 20.5171, 15.9902, 12.1608, 8.5649]",5,5,[],[],False,43580,4.3009,9889,1.4169,"[43580, 21671, 48318, 38515, 25790]","[4.3009, 1.6242, 1.5923, 0.9741, 0.7743]","[9889, 21671, 38515, 29095, 34825]","[1.4169, 1.1183, 1.0549, 0.8, 0.7917]",2,2,"[25790, 43580, 48318]","[9889, 29095, 34825]",5.6467,4.3009,0.000916,43580,4.3009,0.0,4.3009,48318,1.5923,0.0,1.5923,9889,0.0242,1.4169,1.3927,34825,0.0,0.7917,0.7917,23622,0.7546,0.0,0.7546
26,img_000026_label1,img_000026_label1,True,38459,17.428,38459,18.2076,"[38459, 2099, 4594, 41801, 133]","[17.428, 17.3381, 13.6418, 9.0959, 7.4804]","[38459, 2099, 4594, 41801, 133]","[18.2076, 18.1265, 13.9108, 9.8922, 7.6015]",5,5,[],[],True,38515,1.3127,38515,1.0743,"[38515, 34321, 25790, 6365, 34491]","[1.3127, 1.0535, 0.7984, 0.7062, 0.639]","[38515, 34321, 25790, 46187, 42219]","[1.0743, 1.0207, 0.9933, 0.9484, 0.7315]",3,3,"[6365, 34491]","[42219, 46187]",3.2563,0.9484,0.001001,46187,0.0,0.9484,0.9484,6365,0.7062,0.0,0.7062,34491,0.639,0.0,0.639,1965,0.0,0.6263,0.6263,19704,0.0886,0.6842,0.5956
27,img_000027_label6,img_000027_label6,True,38459,19.4149,38459,20.2068,"[38459, 2099, 4594, 41801, 33331]","[19.4149, 19.3529, 14.2595, 11.5242, 8.1297]","[38459, 2099, 4594, 41801, 33331]","[20.2068, 19.7853, 14.2404, 11.5545, 8.5436]",5,5,[],[],True,38515,1.1296,38515,1.5357,"[38515, 38168, 378, 25790, 16136]","[1.1296, 0.9017, 0.8607, 0.807, 0.8045]","[38515, 34321, 34605, 25790, 34491]","[1.5357, 0.8136, 0.8061, 0.7844, 0.7812]",2,2,"[378, 16136, 38168]","[34321, 34491, 34605]",4.0135,0.8607,0.001339,378,0.8607,0.0,0.8607,16136,0.8045,0.0,0.8045,34491,0.0049,0.7812,0.7763,1180,0.7692,0.0,0.7692,38222,0.6771,0.0,0.6771
28,img_000028_label6,img_000028_label6,True,38459,18.4639,38459,19.0537,"[38459, 2099, 4594, 41801, 33331]","[18.4639, 17.9009, 12.8211, 9.6644, 7.9639]","[38459, 2099, 4594, 41801, 33331]","[19.0537, 18.6125, 13.1857, 10.6863, 8.1795]",5,5,[],[],True,38515,0.8212,38515,1.7121,"[38515, 20173, 25790, 14809, 34321]","[0.8212, 0.6879, 0.6671, 0.59, 0.545]","[38515, 21031, 34321, 34605, 36403]","[1.7121, 0.8966, 0.8755, 0.8582, 0.7782]",2,2,"[14809, 20173, 25790]","[21031, 34605, 36403]",4.8769,0.8966,0.001804,21031,0.0,0.8966,0.8966,38515,0.8212,1.7121,0.8909,40429,0.0,0.7781,0.7781,16365,0.0,0.7077,0.7077,20173,0.6879,0.0,0.6879
29,img_000029_label0,img_000029_label0,True,38459,18.461,38459,19.3261,"[38459, 2099, 4594, 41801, 133]","[18.461, 18.051, 13.6763, 9.6029, 7.8342]","[38459, 2099, 4594, 41801, 33331]","[19.3261, 19.1488, 14.4697, 10.6136, 8.1044]",4,4,[133],[33331],False,38515,0.9366,13987,1.6277,"[38515, 27620, 34321, 14809, 32567]","[0.9366, 0.8164, 0.6934, 0.6575, 0.5967]","[13987, 33047, 38515, 34321, 12224]","[1.6277, 1.3239, 1.2577, 1.0301, 0.972]",2,2,"[14809, 27620, 32567]","[12224, 13987, 33047]",4.2662,1.6277,0.00108,13987,0.0,1.6277,1.6277,33047,0.0,1.3239,1.3239,12224,0.0,0.972,0.972,35651,0.0,0.892,0.892,44777,0.0,0.8267,0.8267
