image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
18,image_0019.jpg,global,3,4594,15.6004,4594,15.7352,True,3,3
18,image_0019.jpg,global,4,41801,14.8082,41801,14.8377,True,4,4
18,image_0019.jpg,global,5,33331,9.4765,33331,9.4663,True,5,5
18,image_0019.jpg,patch88,1,38515,1.0905,38515,1.1185,True,1,1
18,image_0019.jpg,patch88,2,1834,0.8894,1834,1.0382,True,2,2
18,image_0019.jpg,patch88,3,25790,0.8674,3642,0.8488,False,,4
18,image_0019.jpg,patch88,4,3642,0.8647,34605,0.8338,False,3,5
18,image_0019.jpg,patch88,5,34605,0.8532,26055,0.7966,False,4,
19,image_0020.jpg,global,1,2099,20.4774,2099,20.4756,True,1,1
19,image_0020.jpg,global,2,38459,19.851,38459,19.8717,True,2,2
19,image_0020.jpg,global,3,4594,16.1832,4594,16.2461,True,3,3
19,image_0020.jpg,global,4,41801,12.2713,41801,12.2919,True,4,4
19,image_0020.jpg,global,5,33331,8.0169,33331,8.0682,True,5,5
19,image_0020.jpg,patch88,1,34321,1.373,25790,1.3271,False,2,2
19,image_0020.jpg,patch88,2,25790,1.3429,34321,1.306,False,1,1
19,image_0020.jpg,patch88,3,38515,1.3426,38515,1.1991,True,3,3
19,image_0020.jpg,patch88,4,4559,0.8736,17271,0.6585,False,,
19,image_0020.jpg,patch88,5,33093,0.6431,45888,0.6383,False,,
20,image_0021.jpg,global,1,2099,23.901,2099,23.7174,True,1,1
20,image_0021.jpg,global,2,38459,23.0788,38459,22.8941,True,2,2
20,image_0021.jpg,global,3,4594,18.2781,4594,18.2428,True,3,3
20,image_0021.jpg,global,4,41801,15.785,41801,15.6276,True,4,4
20,image_0021.jpg,global,5,33331,9.1273,33331,9.0767,True,5,5
20,image_0021.jpg,patch88,1,22475,3.27,22475,3.2936,True,1,1
20,image_0021.jpg,patch88,2,38515,1.8314,38515,1.7168,True,2,2
20,image_0021.jpg,patch88,3,38822,1.412,38822,1.2691,True,3,3
20,image_0021.jpg,patch88,4,25790,1.2347,25790,1.2392,True,4,4
20,image_0021.jpg,patch88,5,34321,1.1607,32315,1.1611,False,,
21,image_0022.jpg,global,1,2099,22.3575,2099,22.0895,True,1,1
21,image_0022.jpg,global,2,38459,21.9218,38459,21.7037,True,2,2
21,image_0022.jpg,global,3,4594,17.197,4594,16.9787,True,3,3
21,image_0022.jpg,global,4,41801,14.1262,41801,13.9349,True,4,4
21,image_0022.jpg,global,5,33331,9.46,33331,9.3815,True,5,5
21,image_0022.jpg,patch88,1,38515,0.8937,38515,0.8722,True,1,1
21,image_0022.jpg,patch88,2,40321,0.704,40321,0.8362,True,2,2
21,image_0022.jpg,patch88,3,25790,0.5996,25790,0.5978,True,3,3
21,image_0022.jpg,patch88,4,38495,0.598,35238,0.5745,False,,
21,image_0022.jpg,patch88,5,11578,0.5839,42949,0.5694,False,,
22,image_0023.jpg,global,1,2099,23.1681,2099,23.0384,True,1,1
22,image_0023.jpg,global,2,38459,22.1955,38459,22.0528,True,2,2
22,image_0023.jpg,global,3,4594,18.4017,4594,18.3172,True,3,3
22,image_0023.jpg,global,4,41801,15.6019,41801,15.4938,True,4,4
22,image_0023.jpg,global,5,33331,8.3433,33331,8.2457,True,5,5
22,image_0023.jpg,patch88,1,32698,2.5178,32698,2.2323,True,1,1
22,image_0023.jpg,patch88,2,17843,1.5805,9554,1.4947,False,3,3
22,image_0023.jpg,patch88,3,9554,1.4028,17843,1.2955,False,2,2
22,image_0023.jpg,patch88,4,34321,1.2453,34321,1.1318,True,4,4
22,image_0023.jpg,patch88,5,38515,1.2197,38515,1.0798,True,5,5
23,image_0024.jpg,global,1,2099,19.2712,2099,19.3036,True,1,1
23,image_0024.jpg,global,2,38459,19.2039,38459,19.2126,True,2,2
23,image_0024.jpg,global,3,4594,14.3279,4594,14.366,True,3,3
23,image_0024.jpg,global,4,41801,11.5478,41801,11.571,True,4,4
23,image_0024.jpg,global,5,33331,7.0053,33331,7.1163,True,5,5
23,image_0024.jpg,patch88,1,38515,1.3952,34214,1.3137,False,2,2
23,image_0024.jpg,patch88,2,34214,1.1709,38515,1.1053,False,1,1
23,image_0024.jpg,patch88,3,34321,1.1206,34321,1.0441,True,3,3
23,image_0024.jpg,patch88,4,14654,0.9579,14654,1.0354,True,4,4
23,image_0024.jpg,patch88,5,26447,0.939,25790,0.8991,False,,
24,image_0025.jpg,global,1,2099,20.6848,2099,20.7875,True,1,1
24,image_0025.jpg,global,2,38459,20.4104,38459,20.4432,True,2,2
24,image_0025.jpg,global,3,4594,15.9427,4594,16.1042,True,3,3
24,image_0025.jpg,global,4,41801,12.8259,41801,12.9579,True,4,4
