image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
9,v_ApplyEyeMakeup_g02_c04.jpg,patch88,5,25790,1.1057,25790,1.1509,True,5,5
10,v_ApplyEyeMakeup_g03_c01.jpg,global,1,2099,22.6538,2099,22.7059,True,1,1
10,v_ApplyEyeMakeup_g03_c01.jpg,global,2,38459,22.4841,38459,22.5988,True,2,2
10,v_ApplyEyeMakeup_g03_c01.jpg,global,3,4594,16.9051,4594,16.7473,True,3,3
10,v_ApplyEyeMakeup_g03_c01.jpg,global,4,41801,14.8416,41801,14.7888,True,4,4
10,v_ApplyEyeMakeup_g03_c01.jpg,global,5,33331,9.4238,33331,9.5083,True,5,5
10,v_ApplyEyeMakeup_g03_c01.jpg,patch88,1,13027,3.3521,13027,2.8566,True,1,1
10,v_ApplyEyeMakeup_g03_c01.jpg,patch88,2,3642,1.6677,3642,1.7401,True,2,2
10,v_ApplyEyeMakeup_g03_c01.jpg,patch88,3,46076,1.5471,46076,1.5654,True,3,3
10,v_ApplyEyeMakeup_g03_c01.jpg,patch88,4,38515,1.3608,38515,1.2524,True,4,4
10,v_ApplyEyeMakeup_g03_c01.jpg,patch88,5,16104,1.2245,16104,1.0913,True,5,5
11,v_ApplyEyeMakeup_g03_c02.jpg,global,1,38459,21.6505,38459,21.9183,True,1,1
11,v_ApplyEyeMakeup_g03_c02.jpg,global,2,2099,21.5717,2099,21.8434,True,2,2
11,v_ApplyEyeMakeup_g03_c02.jpg,global,3,4594,15.4438,4594,15.5826,True,3,3
11,v_ApplyEyeMakeup_g03_c02.jpg,global,4,41801,13.3561,41801,13.5143,True,4,4
11,v_ApplyEyeMakeup_g03_c02.jpg,global,5,33331,9.2017,33331,9.3541,True,5,5
11,v_ApplyEyeMakeup_g03_c02.jpg,patch88,1,13027,4.4092,13027,4.7203,True,1,1
11,v_ApplyEyeMakeup_g03_c02.jpg,patch88,2,46076,2.7933,46076,2.8791,True,2,2
11,v_ApplyEyeMakeup_g03_c02.jpg,patch88,3,26522,1.7553,26522,1.8729,True,3,3
11,v_ApplyEyeMakeup_g03_c02.jpg,patch88,4,38515,1.5106,38515,1.506,True,4,4
11,v_ApplyEyeMakeup_g03_c02.jpg,patch88,5,19999,1.4039,16104,1.4993,False,,
12,v_ApplyEyeMakeup_g03_c03.jpg,global,1,2099,25.1467,2099,25.4034,True,1,1
12,v_ApplyEyeMakeup_g03_c03.jpg,global,2,38459,24.1574,38459,24.3921,True,2,2
12,v_ApplyEyeMakeup_g03_c03.jpg,global,3,4594,19.4379,4594,19.5303,True,3,3
12,v_ApplyEyeMakeup_g03_c03.jpg,global,4,41801,17.2195,41801,17.4096,True,4,4
12,v_ApplyEyeMakeup_g03_c03.jpg,global,5,33331,10.1921,33331,10.3458,True,5,5
12,v_ApplyEyeMakeup_g03_c03.jpg,patch88,1,38515,2.0555,38515,2.1766,True,1,1
12,v_ApplyEyeMakeup_g03_c03.jpg,patch88,2,25790,1.7352,25790,1.7971,True,2,2
